,degree,count
0,1,5003
1,2,10257
2,3,11772
3,204,1
4,4,11097
5,5,12264
6,6,9019
7,7,6716
8,8,4807
9,9,3810
10,10,2881
11,11,2407
12,12,1835
13,13,1454
14,213,1
15,14,1291
16,15,1187
17,16,935
18,17,729
19,18,675
20,19,635
21,20,500
22,21,399
23,22,349
24,23,272
25,24,249
26,25,228
27,26,234
28,27,226
29,28,154
30,29,177
31,30,117
32,31,131
33,32,188
34,33,102
35,34,114
36,35,100
37,36,62
38,37,65
39,38,78
40,39,49
41,40,53
42,41,44
43,42,55
44,43,76
45,44,44
46,45,40
47,46,46
48,47,54
49,48,29
50,49,26
51,50,22
52,51,21
53,52,30
54,53,24
55,54,16
56,55,33
57,56,12
58,57,10
59,58,14
60,59,10
61,60,8
62,61,15
63,62,17
64,63,8
65,64,12
66,65,6
67,66,3
68,67,7
69,68,7
70,69,4
71,70,3
72,71,6
73,72,6
74,74,6
75,75,8
76,76,5
77,77,2
78,78,4
79,79,3
80,80,4
81,81,6
82,82,8
83,83,2
84,84,2
85,86,3
86,88,2
87,89,3
88,90,2
89,91,2
90,92,2
91,93,2
92,99,1
93,100,1
94,101,3
95,103,1
96,104,2
97,105,2
98,106,1
99,107,2
100,112,1
101,114,2
102,115,2
103,116,1
104,120,2
105,123,1
106,125,2
107,131,2
108,135,1
109,139,1
110,140,1
111,146,1
112,149,1
113,150,1
114,157,1
115,162,1
116,173,1
