,degree,count
0,400,1
1,200,4
2,1,10716
3,201,2
4,2,6034
5,202,1
6,3,4127
7,204,1
8,4,2731
9,5,2025
10,205,1
11,206,1
12,6,1571
13,406,1
14,207,1
15,7,1258
16,8,1056
17,208,2
18,409,2
19,9,897
20,209,2
21,10,721
22,210,1
23,611,1
24,11,627
25,211,1
26,212,1
27,12,556
28,13,495
29,214,2
30,14,456
31,15,407
32,16,358
33,17,330
34,18,306
35,819,1
36,19,263
37,419,1
38,219,1
39,220,1
40,20,227
41,21,230
42,221,1
43,222,1
44,22,225
45,23,181
46,24,177
47,224,2
48,25,171
49,225,1
50,26,159
51,226,2
52,27,140
53,427,2
54,227,1
55,228,2
56,428,1
57,28,119
58,429,1
59,29,125
60,229,3
61,230,1
62,630,2
63,30,117
64,430,1
65,231,1
66,31,118
67,32,105
68,232,2
69,33,101
70,34,86
71,234,2
72,35,91
73,235,1
74,236,1
75,36,88
76,37,70
77,237,1
78,638,1
79,38,61
80,239,1
81,39,73
82,40,62
83,240,1
84,41,78
85,441,1
86,241,2
87,42,56
88,242,1
89,43,60
90,243,1
91,444,1
92,44,47
93,45,48
94,246,2
95,46,57
96,47,36
97,48,50
98,248,1
99,49,47
100,249,1
101,450,1
102,50,49
103,250,2
104,51,35
105,251,2
106,252,3
107,52,39
108,53,38
109,54,27
110,55,41
111,255,3
112,56,29
113,456,1
114,57,35
115,257,1
116,58,24
117,258,1
118,658,1
119,259,1
120,59,28
121,460,1
122,60,34
123,61,28
124,661,1
125,262,1
126,62,24
127,462,2
128,263,1
129,63,24
130,64,25
131,464,1
132,65,24
133,265,1
134,66,25
135,266,1
136,67,26
137,68,21
138,69,15
139,269,1
140,270,1
141,70,15
142,71,25
143,72,14
144,272,1
145,73,24
146,74,17
147,674,1
148,275,2
149,75,22
150,76,18
151,276,3
152,77,14
153,277,1
154,478,1
155,278,2
156,78,20
157,479,2
158,79,16
159,80,17
160,280,1
161,81,21
162,82,13
163,83,16
164,84,22
165,85,15
166,285,1
167,286,2
168,86,9
169,287,1
170,87,21
171,88,13
172,288,3
173,89,19
174,289,1
175,90,9
176,291,1
177,91,20
178,292,1
179,92,14
180,492,1
181,93,10
182,293,2
183,294,1
184,94,11
185,295,1
186,95,7
187,296,1
188,96,9
189,97,16
190,98,17
191,498,2
192,99,10
193,1300,1
194,100,8
195,500,1
196,101,6
197,302,2
198,102,14
199,303,1
200,103,7
201,104,8
202,105,9
203,305,1
204,106,14
205,306,1
206,307,1
207,107,8
208,108,4
209,109,6
210,110,12
211,111,11
212,311,1
213,112,9
214,312,2
215,113,11
216,114,12
217,115,3
218,116,8
219,117,10
220,717,1
221,118,3
222,119,8
223,320,1
224,120,7
225,121,5
226,522,1
227,322,1
228,122,8
229,323,1
230,123,6
231,324,1
232,124,10
233,125,7
234,325,2
235,126,4
236,327,1
237,127,4
238,128,4
239,328,1
240,129,7
241,130,5
242,330,2
243,131,6
244,132,2
245,133,10
246,134,6
247,535,1
248,135,2
249,136,4
250,336,2
251,137,2
252,937,1
253,138,6
254,139,4
255,141,2
256,341,1
257,142,6
258,143,6
259,144,5
260,344,1
261,145,2
262,345,1
263,146,5
264,347,1
265,147,3
266,348,1
267,148,1
268,149,7
269,349,2
270,350,1
271,150,2
272,351,2
273,151,2
274,152,6
275,153,4
276,154,2
277,155,2
278,156,4
279,157,2
280,357,1
281,158,1
282,358,1
283,159,4
284,160,3
285,360,1
286,161,3
287,562,1
288,162,1
289,163,1
290,164,3
291,165,2
292,166,6
293,367,1
294,167,2
295,168,3
296,569,1
297,170,4
298,171,2
299,172,3
300,373,1
301,173,2
302,174,1
303,1575,1
304,175,5
305,176,4
306,376,1
307,177,1
308,178,5
309,378,1
310,179,4
311,180,2
312,181,2
313,182,2
314,183,1
315,184,1
316,384,1
317,185,2
318,385,1
319,186,4
320,386,1
321,187,5
322,387,2
323,588,1
324,188,4
325,189,4
326,190,1
327,590,2
328,191,1
329,192,3
330,193,3
331,194,4
332,395,1
333,195,1
334,196,2
335,197,2
336,198,2
337,199,4
